"","country","city","date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30"
"1297","belgium","antwerp","2020-05-27",30283599,"Sint-Andries",51.21586,4.39861,"Apartment","Entire home/apt",4,2,4,100,4,1125,29
"1298","belgium","antwerp","2020-05-27",30290226,"Harmonie",51.20864,4.40395,"Apartment","Entire home/apt",4,1,1,65,1,1125,0
"1299","belgium","antwerp","2020-05-27",30314722,"Markgrave",51.19827,4.40634,"Loft","Entire home/apt",5,2,2,149,1,356,30
"1300","belgium","antwerp","2020-05-27",30319385,"Universiteitsbuurt",51.21968,4.41384,"House","Entire home/apt",9,3,6,250,1,365,0
"1301","belgium","antwerp","2020-05-27",30341411,"Markgrave",51.19791,4.40722,"Loft","Entire home/apt",4,1,1,69,1,1125,30
"1302","belgium","antwerp","2020-05-27",30372571,"Zuid",51.20551,4.39105,"Apartment","Entire home/apt",2,1,1,100,2,22,30
"1303","belgium","antwerp","2020-05-27",30391008,"Harmonie",51.20874,4.40455,"Townhouse","Entire home/apt",12,6,12,160,30,1125,28
"1304","belgium","antwerp","2020-05-27",30414610,"Amandus - Atheneum",51.21988,4.4215,"Apartment","Entire home/apt",4,1,1,99,2,1125,30
"1305","belgium","antwerp","2020-05-27",30414744,"Amandus - Atheneum",51.21865,4.4237,"Apartment","Entire home/apt",2,1,1,70,2,1125,30
"1306","belgium","antwerp","2020-05-27",30416182,"Zuid",51.20721,4.38625,"Apartment","Entire home/apt",2,1,1,89,2,30,0
"1307","belgium","antwerp","2020-05-27",30436400,"Stadspark",51.21327,4.41114,"Apartment","Entire home/apt",2,1,1,80,3,90,0
"1308","belgium","antwerp","2020-05-27",30451449,"Universiteitsbuurt",51.22128,4.41125,"Apartment","Entire home/apt",6,2,5,99,2,1125,25
"1309","belgium","antwerp","2020-05-27",30458552,"Amandus - Atheneum",51.21822,4.43042,"House","Private room",2,1,1,34,2,60,29
"1310","belgium","antwerp","2020-05-27",30463912,"Amandus - Atheneum",51.21822,4.43042,"House","Private room",2,1,1,45,2,60,0
"1311","belgium","antwerp","2020-05-27",30498306,"Historisch Centrum",51.22244,4.4055,"Apartment","Private room",4,2,2,280,1,1125,29
"1312","belgium","antwerp","2020-05-27",30498946,"Universiteitsbuurt",51.22091,4.40547,"Apartment","Private room",3,0,2,190,2,1125,29
"1313","belgium","antwerp","2020-05-27",30517642,"Zuid",51.20934,4.39983,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1314","belgium","antwerp","2020-05-27",30517873,"Brederode",51.20667,4.40171,"Apartment","Entire home/apt",4,1,4,284,3,1125,29
"1315","belgium","antwerp","2020-05-27",30518039,"Zuid",51.20765,4.39579,"Apartment","Entire home/apt",4,1,4,284,3,1125,0
